,,,,2011-12 Season,2011-12 Season,2011-12 Season,2011-12 Season,2011-12 Season,2011-12 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
David Carter,Nevada,WAC,,28,7,.800,,,,,2009-10,62,39,.614,,,,,,62,39,.614,,,,
Tim Carter,South Carolina State,MEAC,,5,26,.161,,,,,2007-08,63,96,.396,,,,,,223,248,.473,2,,,
Mo Cassara,Hofstra,CAA,,10,22,.312,,,,,2010-11,31,34,.477,,,,,,31,34,.477,,,,
Patrick Chambers,Penn State,Big Ten,,12,20,.375,,,,,2011-12,12,20,.375,,,,,,54,48,.529,1,,,
Scott Cherry,High Point,Big South,,13,18,.419,,,,,2009-10,40,52,.435,,,,,,40,52,.435,,,,
Jim Christian,TCU,MWC,,18,15,.545,,,,,2008-09,56,73,.434,,,,,,193,132,.594,2,,,
Tim Cluess,Iona,MAAC,,25,8,.758,,,Lost First Round,,2010-11,50,20,.714,1,,,,,50,20,.714,1,,,
Bill Coen,Northeastern,CAA,,14,17,.452,,,,,2006-07,91,99,.479,,,,,,91,99,.479,,,,
Charlie Coles,Miami (OH),MAC,,9,21,.300,,,,,1996-97,266,226,.541,3,1,,,,357,311,.534,4,1,,
Ed Conroy,Tulane,CUSA,,15,16,.484,,,,,2010-11,28,33,.459,,,,,,77,109,.414,,,,
Ed Cooley,Providence,Big East,,15,17,.469,,,,,2011-12,15,17,.469,,,,,,107,86,.554,,,,
John Cooper,Tennessee State,OVC,,20,13,.606,,,,,2009-10,43,52,.453,,,,,,43,52,.453,,,,
Paul Cormier,Dartmouth,Ivy,,5,25,.167,,,,,1984-85,97,143,.404,,,,,,183,254,.419,1,,,
Ron Cottrell,Houston Christian,GWC,,10,20,.333,,,,,2008-09,32,92,.258,,,,,,32,92,.258,,,,
Bill Courtney,Cornell,Ivy,,12,16,.429,,,,,2010-11,22,34,.393,,,,,,22,34,.393,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,18,17,.514,,,,,2011-12,18,17,.514,,,,,,18,17,.514,,,,
Tom Crean,Indiana,Big Ten,,27,9,.750,,16,Lost Regional Semifinal,,2008-09,55,75,.423,1,1,,,,245,171,.589,6,2,1,
Bobby Cremins,College of Charleston,Southern,,19,12,.613,,,,,2006-07,132,72,.647,,,,,,586,379,.607,11,5,1,
Mick Cronin,Cincinnati,Big East,,26,11,.703,21,,Lost Regional Semifinal,,2006-07,113,88,.562,2,1,,,,182,112,.619,4,1,,
Scott Cross,UT Arlington,Southland,,24,9,.727,,,,,2006-07,103,82,.557,1,,,,,103,82,.557,1,,,
Keith Dambrot,Akron,MAC,,22,12,.647,,,,,2004-05,184,87,.679,2,,,,,204,121,.628,2,,,
Doug Davalos,Texas State,Southland,,13,17,.433,,,,,2006-07,80,101,.442,,,,,,80,101,.442,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,27,7,.794,,,,,2002-03,180,133,.575,,,,,,251,183,.578,2,,,
Mike Davis,UAB,CUSA,,15,16,.484,,,,,2006-07,122,73,.626,1,,,,,237,152,.609,5,1,1,
Johnny Dawkins Jr,Stanford,Pac-12,,26,11,.703,,,,,2008-09,75,59,.560,,,,,,75,59,.560,,,,
Ed DeChellis,Navy,Patriot,,3,26,.103,,,,,2011-12,3,26,.103,,,,,,222,257,.463,2,,,
Mike Dement,UNC Greensboro,Southern,,2,8,.200,,,,,1991-92,124,181,.407,,,,,,331,371,.472,1,,,
Tommy Dempsey,Rider,MAAC,,13,19,.406,,,,,2005-06,119,105,.531,,,,,,119,105,.531,,,,
Howie Dickenman,Central Connecticut,NEC,,13,16,.448,,,,,1996-97,249,224,.526,3,,,,,249,224,.526,3,,,
James Dickey,Houston,CUSA,,15,15,.500,,,,,2010-11,27,33,.450,,,,,,193,157,.551,2,1,,
Tracy Dildy,Chicago State,GWC,,4,26,.133,,,,,2010-11,10,52,.161,,,,,,10,52,.161,,,,
Jamie Dixon,Pitt,Big East,,22,17,.564,10,,,,2003-04,238,77,.756,8,3,,,,238,77,.756,8,3,,
Matt Doherty,SMU,CUSA,,13,19,.406,,,,,2006-07,80,109,.423,,,,,,170,180,.486,1,,,
Cameron Dollar,Seattle,Ind,,12,15,.444,,,,,2009-10,40,49,.449,,,,,,40,49,.449,,,,
Steve Donahue,Boston College,ACC,,9,22,.290,,,,,2010-11,30,35,.462,,,,,,176,173,.504,3,1,,
Billy Donlon,Wright State,Horizon,,13,19,.406,,,,,2010-11,32,33,.492,,,,,,32,33,.492,,,,
Billy Donovan,Florida,SEC,,26,11,.703,8,25,Lost Regional Final,,1996-97,386,158,.710,12,6,3,2,,421,178,.703,12,6,3,2
Bryce Drew,Valparaiso,Horizon,,22,12,.647,,,,,2011-12,22,12,.647,,,,,,22,12,.647,,,,
Scott Drew,Baylor,Big 12,,30,8,.789,12,9,Lost Regional Final,,2003-04,157,124,.559,3,2,,,,177,135,.567,3,2,,
Chuck Driesell,The Citadel,Southern,,6,24,.200,,,,,2010-11,16,46,.258,,,,,,16,46,.258,,,,
Matthew Driscoll,North Florida,A-Sun,,16,16,.500,,,,,2009-10,44,53,.454,,,,,,44,53,.454,,,,
John Dunne,St. Peter's,MAAC,,5,26,.161,,,,,2006-07,63,122,.341,1,,,,,63,122,.341,1,,,
Fran Dunphy,Temple,A-10,,24,8,.750,,,Lost Second Round,,2006-07,134,65,.673,5,,,,,444,228,.661,14,,,
Jerry Eaves,North Carolina A&T,MEAC,,12,20,.375,,,,,2003-04,99,180,.355,,,,,,99,180,.355,,,,
Cliff Ellis,Coastal Carolina,Big South,,19,12,.613,,,,,2007-08,99,60,.623,,,,,,635,398,.615,8,3,,
Andy Enfield,Florida Gulf Coast,A-Sun,,15,17,.469,,,,,2011-12,15,17,.469,,,,,,15,17,.469,,,,
Jim Engles,NJIT,GWC,,15,17,.469,,,,,2008-09,41,83,.331,,,,,,41,83,.331,,,,
Larry Eustachy,Southern Miss,CUSA,,25,9,.735,,,Lost Second Round,,2004-05,142,113,.557,1,,,,,402,258,.609,4,1,,
Anthony Evans,Norfolk State,MEAC,,26,10,.722,,,Lost Third Round,,2007-08,78,82,.487,1,,,,,78,82,.487,1,,,
Ron Everhart,Duquesne,A-10,,16,15,.516,,,,,2006-07,99,89,.527,,,,,,273,261,.511,,,,
Jim Ferry,LIU,NEC,,25,9,.735,,,Lost Second Round,,2002-03,150,149,.502,2,,,,,150,149,.502,2,,,
Mark Few,Gonzaga,WCC,,26,7,.788,23,,Lost Third Round,,1999-00,342,90,.792,13,4,,,,342,90,.792,13,4,,
Steve Fisher *,San Diego State,MWC,,26,8,.765,,22,Lost Second Round,,1999-00,258,160,.617,5,1,,,,442,242,.646,12,5,3,1
Bruiser Flint,Drexel,CAA,,29,7,.806,,,,,2001-02,199,141,.585,,,,,,285,213,.572,2,,,
Tim Floyd *,UTEP,CUSA,,15,17,.469,,,,,2010-11,40,27,.597,,,,,,367,208,.638,8,2,,
Geno Ford,Bradley,MVC,,7,25,.219,,,,,2011-12,7,25,.219,,,,,,75,62,.547,,,,
Travis Ford,Oklahoma State,Big 12,,15,18,.455,,,,,2008-09,80,55,.593,2,,,,,203,170,.544,3,,,
Lennox Forrester,SIU-Edwardsville,OVC,,10,17,.370,,,,,2008-09,33,81,.289,,,,,,33,81,.289,,,,
Mark Fox,Georgia,SEC,,15,17,.469,,,,,2009-10,50,46,.521,1,,,,,173,89,.660,4,,,
Don Friday,Saint Francis (PA),NEC,,6,23,.207,,,,,2008-09,32,86,.271,,,,,,32,86,.271,,,,
John Gallagher,Hartford,AEC,,9,22,.290,,,,,2010-11,20,42,.323,,,,,,20,42,.323,,,,
Tyler Geving,Portland State,Big Sky,,17,15,.531,,,,,2009-10,44,50,.468,,,,,,44,50,.468,,,,
John Giannini,La Salle,A-10,,21,13,.618,,,,,2004-05,119,128,.482,,,,,,244,239,.505,,,,
Mike Gillian,Longwood,Ind,,10,21,.323,,,,,2004-05,80,167,.324,,,,,,80,167,.324,,,,
Billy Gillispie,Texas Tech,Big 12,,8,23,.258,,,,,2011-12,8,23,.258,,,,,,148,108,.578,4,1,,
Max Good,Loyola Marymount,WCC,,21,13,.618,,,,,2008-09,53,75,.414,,,,,,162,213,.432,,,,
Mark Gottfried,NC State,ACC,,24,13,.649,,,Lost Regional Semifinal,,2011-12,24,13,.649,1,1,,,,302,168,.643,8,2,,
Anthony Grant,Alabama,SEC,,21,12,.636,19,,Lost Second Round,,2009-10,63,39,.618,1,,,,,139,64,.685,3,,,
James Green,Jacksonville State,OVC,,15,18,.455,,,,,2008-09,42,79,.347,,,,,,209,241,.464,1,,,
Seth Greenberg,Virginia Tech,ACC,,16,17,.485,,,,,2003-04,170,123,.580,1,,,,,383,293,.567,3,,,
Brian Gregory,Georgia Tech,ACC,,11,20,.355,,,,,2011-12,11,20,.355,,,,,,183,114,.616,2,,,
Bill Grier,San Diego,WCC,,13,18,.419,,,,,2007-08,68,93,.422,1,,,,,68,93,.422,1,,,
John Groce,Ohio,MAC,,29,8,.784,,,Lost Regional Semifinal,,2008-09,85,56,.603,2,1,,,,85,56,.603,2,1,,
Frank Haith,Missouri,Big 12,,30,5,.857,25,3,Lost Second Round,,2011-12,30,5,.857,1,,,,,159,106,.600,2,,,
Leonard Hamilton *,Florida State,ACC,,25,10,.714,,10,Lost Third Round,,2002-03,201,127,.613,4,1,,,,401,337,.543,7,2,,
Ray Harper,Western Kentucky,Sun Belt,,11,8,.579,,,Lost Second Round,,2011-12,11,8,.579,1,,,,,11,8,.579,1,,,
Tony Harvey,Texas Southern,SWAC,,15,18,.455,,,,,2008-09,58,72,.446,,,,,,58,72,.446,,,,
Steve Hawkins,Western Michigan,MAC,,14,20,.412,,,,,2003-04,159,132,.546,1,,,,,159,132,.546,1,,,
Willie Hayes,Alabama A&M,SWAC,,7,21,.250,,,,,2011-12,7,21,.250,,,,,,7,21,.250,,,,
Jim Hayford,Eastern Washington,Big Sky,,15,17,.469,,,,,2011-12,15,17,.469,,,,,,15,17,.469,,,,
Stan Heath,South Florida,Big East,,22,14,.611,,,Lost Third Round,,2007-08,73,91,.445,1,,,,,185,168,.524,4,1,,
Mitch Henderson,Princeton,Ivy,,20,12,.625,,,,,2011-12,20,12,.625,,,,,,20,12,.625,,,,
Bill Herrion,New Hampshire,AEC,,13,16,.448,,,,,2005-06,83,124,.401,,,,,,320,293,.522,3,,,
Tom Herrion,Marshall,CUSA,,21,14,.600,,,,,2010-11,43,26,.623,,,,,,123,64,.658,,,,
Paul Hewitt,George Mason,CAA,,24,9,.727,,,,,2011-12,24,9,.727,,,,,,280,198,.586,6,1,1,
B.J. Hill *,Northern Colorado,Big Sky,,9,19,.321,,,,,2010-11,30,30,.500,1,,,,,30,30,.500,1,,,
Bob Hoffman,Mercer,A-Sun,,27,11,.711,,,,,2008-09,75,61,.551,,,,,,143,138,.509,,,,
Fred Hoiberg,Iowa State,Big 12,,23,11,.676,,,Lost Third Round,,2010-11,39,27,.591,1,,,,,39,27,.591,1,,,
Chris Holtmann,Gardner-Webb,Big South,,12,20,.375,,,,,2010-11,23,41,.359,,,,,,23,41,.359,,,,
Jason Hooten,Sam Houston,Southland,,13,19,.406,,,,,2010-11,31,32,.492,,,,,,31,32,.492,,,,
Darrin Horn,South Carolina,SEC,,10,21,.323,,,,,2008-09,60,63,.488,,,,,,171,111,.606,1,1,,
Todd Howard,IU Indianapolis,Summit,,14,18,.438,,,,,2011-12,14,18,.438,,,,,,14,18,.438,,,,
Ben Howland,UCLA,Pac-12,,19,14,.576,17,,,,2003-04,208,97,.682,6,3,3,,,374,198,.654,9,5,3,
Bob Huggins,West Virginia,Big East,,19,14,.576,,,Lost Second Round,,2007-08,120,56,.682,5,2,1,,,638,242,.725,20,6,2,
Dick Hunsaker,Utah Valley,GWC,,20,13,.606,,,,,2004-05,137,99,.581,,,,,,252,145,.635,2,1,,
Larry Hunter,Western Carolina,Southern,,17,18,.486,,,,,2005-06,107,118,.476,,,,,,311,266,.539,1,,,
Ron Hunter,Georgia State,CAA,,22,12,.647,,,,,2011-12,22,12,.647,,,,,,243,191,.560,1,,,
Dan Hurley,Wagner,NEC,,25,6,.806,,,,,2010-11,38,23,.623,,,,,,38,23,.623,,,,
Brad Huse,Montana State,Big Sky,,12,17,.414,,,,,2006-07,80,100,.444,,,,,,80,100,.444,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,11,22,.333,,,,,2008-09,49,80,.380,1,,,,,49,80,.380,1,,,
Tom Izzo,Michigan State,Big Ten,,29,8,.784,,5,Lost Regional Semifinal,,1995-96,412,169,.709,15,10,6,1,,412,169,.709,15,10,6,1
Greg Jackson,Delaware State,MEAC,,15,14,.517,,,,,2000-01,181,183,.497,1,,,,,181,183,.497,1,,,
Jeff Jackson,Furman,Southern,,15,16,.484,,,,,2006-07,78,107,.422,,,,,,99,167,.372,,,,
Lewis Jackson,Alabama State,SWAC,,12,19,.387,,,,,2005-06,109,111,.495,2,,,,,109,111,.495,2,,,
Ben Jacobson,Northern Iowa,MVC,,20,14,.588,,,,,2006-07,129,71,.645,2,1,,,,129,71,.645,2,1,,
Jason James,UT-Martin,OVC,,4,27,.129,,,,,2009-10,20,73,.215,,,,,,20,73,.215,,,,
Tim Jankovich,Illinois State,MVC,,21,14,.600,,,,,2007-08,104,64,.619,,,,,,157,121,.565,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,11,19,.367,,,,,2008-09,52,72,.419,,,,,,415,274,.602,9,2,,
Tony Jasick,Purdue Fort Wayne,Summit,,11,19,.367,,,,,2011-12,11,19,.367,,,,,,11,19,.367,,,,
Rob Jeter,Milwaukee,Horizon,,20,14,.588,,,,,2005-06,121,103,.540,1,,,,,121,103,.540,1,,,
Clemon Johnson,Florida A&M,MEAC,,10,23,.303,,,,,2011-12,10,23,.303,,,,,,10,23,.303,,,,
Sydney Johnson,Fairfield,MAAC,,22,15,.595,,,,,2011-12,22,15,.595,,,,,,88,68,.564,1,,,
Trent Johnson,LSU,SEC,,18,15,.545,,,,,2008-09,67,64,.511,1,,,,,226,186,.549,5,2,,
Brian Jones,North Dakota,GWC,,17,15,.531,,,,,2009-10,44,53,.454,,,,,,44,53,.454,,,,
Donnie Jones *,UCF,CUSA,,22,11,.667,,,,,2010-11,43,23,.652,,,,,,98,64,.605,,,,
James Jones,Yale,Ivy,,19,10,.655,,,,,1999-00,176,191,.480,,,,,,176,191,.480,,,,
Jeff Jones,American,Patriot,,20,12,.625,,,,,2000-01,201,163,.552,2,,,,,347,267,.565,7,2,,
Joe Jones,Boston University,AEC,,16,16,.500,,,,,2011-12,16,16,.500,,,,,,102,124,.451,,,,
Johnny Jones,North Texas,Sun Belt,,18,14,.562,,,,,2001-02,190,146,.565,2,,,,,205,162,.559,2,,,
Mike Jones,Radford,Big South,,6,26,.188,,,,,2011-12,6,26,.188,,,,,,6,26,.188,,,,
Edward Joyner Jr,Hampton,MEAC,,12,21,.364,,,,,2009-10,50,48,.510,1,,,,,50,48,.510,1,,,
Greg Kampe,Oakland,Summit,,20,16,.556,,,,,1999-00,226,187,.547,3,,,,,226,187,.547,3,,,
Danny Kaspar,Stephen F. Austin,Southland,,20,12,.625,,,,,2000-01,219,136,.617,1,,,,,219,136,.617,1,,,
Brian Katz,Sacramento State,Big Sky,,10,18,.357,,,,,2008-09,28,87,.243,,,,,,28,87,.243,,,,
Kerry Keating,Santa Clara,WCC,,8,22,.267,,,,,2007-08,74,90,.451,,,,,,74,90,.451,,,,
Derek Kellogg,UMass,A-10,,25,12,.676,,,,,2008-09,64,65,.496,,,,,,64,65,.496,,,,
Andy Kennedy,Ole Miss,SEC,,20,14,.588,,,,,2006-07,125,78,.616,,,,,,146,91,.616,,,,
Billy Kennedy,Texas A&M,Big 12,,14,18,.438,20,,,,2011-12,14,18,.438,,,,,,225,197,.533,2,,,
Pat Knight,Lamar,Southland,,23,12,.657,,,Lost First Round,,2011-12,23,12,.657,1,,,,,73,73,.500,1,,,
Tod Kowalczyk,Toledo,MAC,,19,17,.528,,,,,2010-11,23,45,.338,,,,,,159,157,.503,,,,
Lon Kruger,Oklahoma,Big 12,,15,16,.484,,,,,2011-12,15,16,.484,,,,,,494,320,.607,13,3,1,
Larry Krystkowiak,Utah,Pac-12,,6,25,.194,,,,,2011-12,6,25,.194,,,,,,48,45,.516,2,,,
Mike Krzyzewski,Duke,ACC,,27,7,.794,6,8,Lost Second Round,,1980-81,854,232,.786,28,20,11,4,,927,291,.761,28,20,11,4
Robbie Laing,Campbell,Big South,,17,15,.531,,,,,2003-04,101,165,.380,,,,,,101,165,.380,,,,
Matt Langel,Colgate,Patriot,,8,22,.267,,,,,2011-12,8,22,.267,,,,,,8,22,.267,,,,
Greg Lansing,Indiana State,MVC,,18,15,.545,,,,,2010-11,38,29,.567,1,,,,,38,29,.567,1,,,
Jim Larranaga,Miami (FL),ACC,,20,13,.606,,,,,2011-12,20,13,.606,,,,,,462,322,.589,5,1,1,
Steve Lavin,St. John's (NY),Big East,,13,19,.406,,,,,2010-11,34,31,.523,1,,,,,179,109,.622,7,5,,
Dale Layer,Liberty,Big South,,14,18,.438,,,,,2009-10,48,47,.505,,,,,,151,153,.497,1,,,
Jeff Lebo,East Carolina,CUSA,,15,16,.484,,,,,2010-11,33,32,.508,,,,,,244,188,.565,,,,
Jim Les,UC-Davis,Big West,,5,26,.161,,,,,2011-12,5,26,.161,,,,,,159,166,.489,1,1,,
Mike Lonergan,George Washington,A-10,,10,21,.323,,,,,2011-12,10,21,.323,,,,,,136,89,.604,1,,,
Dave Loos,Austin Peay,OVC,,12,20,.375,,,,,1990-91,363,310,.539,3,,,,,363,310,.539,3,,,
Chris Lowery,Southern Illinois,MVC,,8,23,.258,,,,,2004-05,145,116,.556,3,1,,,,145,116,.556,3,1,,
Paul Lusk,Missouri State,MVC,,16,16,.500,,,,,2011-12,16,16,.500,,,,,,16,16,.500,,,,
Chris Mack,Xavier,A-10,,23,13,.639,14,,Lost Regional Semifinal,,2009-10,73,30,.709,3,2,,,,73,30,.709,3,2,,
Mark Macon,Binghamton,AEC,,2,29,.065,,,,,2009-10,23,70,.247,,,,,,23,70,.247,,,,
Don Maestri,Troy,Sun Belt,,10,18,.357,,,,,1993-94,279,275,.504,1,,,,,279,275,.504,1,,,
Rick Majerus,Saint Louis,A-10,,26,8,.765,,,Lost Third Round,,2007-08,95,69,.579,1,,,,,517,216,.705,13,4,1,
Alan Major,Charlotte,A-10,,13,17,.433,,,,,2010-11,23,37,.383,,,,,,23,37,.383,,,,
Ryan Marks,Texas-Rio Grande Valley,GWC,,11,21,.344,,,,,2009-10,23,73,.240,,,,,,23,73,.240,,,,
Bob Marlin,Louisiana,Sun Belt,,16,16,.500,,,,,2010-11,30,31,.492,,,,,,255,162,.612,2,,,
Gregg Marshall,Wichita State,MVC,,27,6,.818,,18,Lost Second Round,,2007-08,109,61,.641,1,,,,,303,144,.678,8,,,
Phil Martelli,St. Joseph's,A-10,,20,14,.588,,,,,1995-96,320,223,.589,5,2,,,,320,223,.589,5,2,,
Chuck Martin,Marist,MAAC,,14,18,.438,,,,,2008-09,31,97,.242,,,,,,31,97,.242,,,,
Cuonzo Martin,Tennessee,SEC,,19,15,.559,,,,,2011-12,19,15,.559,,,,,,80,56,.588,,,,
Deane Martin,Idaho State,Big Sky,,7,13,.350,,,,,2011-12,7,13,.350,,,,,,7,13,.350,,,,
Frank Martin,Kansas State,Big 12,,22,11,.667,,,Lost Third Round,,2007-08,117,54,.684,4,1,,,,117,54,.684,4,1,,
Steve Masiello,Manhattan,MAAC,,21,13,.618,,,,,2011-12,21,13,.618,,,,,,21,13,.618,,,,
Matt Matheny,Elon,Southern,,15,16,.484,,,,,2009-10,38,56,.404,,,,,,38,56,.404,,,,
Thad Matta,Ohio State,Big Ten,,31,8,.795,3,7,Lost National Semifinal,,2004-05,221,65,.773,6,4,2,,,323,96,.771,10,5,2,
Fran McCaffery,Iowa,Big Ten,,18,17,.514,,,,,2010-11,29,37,.439,,,,,,280,214,.567,5,,,
Ray McCallum,Detroit Mercy,Horizon,,22,14,.611,,,Lost Second Round,,2008-09,66,67,.496,1,,,,,236,216,.522,3,,,
Mike McConathy,Northwestern State,Southland,,16,16,.500,,,,,1999-00,200,204,.495,2,,,,,200,204,.495,2,,,
Greg McDermott,Creighton,MVC,,29,6,.829,,19,Lost Third Round,,2010-11,52,22,.703,1,,,,,201,153,.568,4,,,
Ken McDonald,Western Kentucky,Sun Belt,,5,11,.312,,,Lost Second Round,,2008-09,67,49,.578,2,,,,,67,49,.578,2,,,
