,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
John Dunne,St. Peter's,MAAC,,5,25,.167,,,,,2006-07,5,25,.167,,,,,,5,25,.167,,,,
Fran Dunphy,Temple,A-10,,12,18,.400,,,,,2006-07,12,18,.400,,,,,,322,181,.640,9,,,
Randy Dunton,Liberty,Big South,,14,17,.452,,,,,1997-98,77,102,.430,1,,,,,77,102,.430,1,,,
Orlando Early,Louisiana-Monroe,Sun Belt,,18,14,.562,,,,,2005-06,28,32,.467,,,,,,28,32,.467,,,,
Jerry Eaves,North Carolina A&T,MEAC,,15,17,.469,,,,,2003-04,30,89,.252,,,,,,30,89,.252,,,,
Scott Edgar,Southeast Missouri State,OVC,,11,20,.355,,,,,2006-07,11,20,.355,,,,,,119,115,.509,2,,,
Larry Eustachy,Southern Miss,CUSA,,20,11,.645,,,,,2004-05,41,49,.456,,,,,,301,194,.608,3,1,,
Bill Evans,Southern Utah,Mid-Cont,,16,14,.533,,,,,1991-92,208,223,.483,1,,,,,208,223,.483,1,,,
Jessie Evans,San Francisco,WCC,,13,18,.419,,,,,2004-05,41,49,.456,,,,,,173,130,.571,2,,,
Ron Everhart,Duquesne,A-10,,10,19,.345,,,,,2006-07,10,19,.345,,,,,,184,191,.491,,,,
Houston Fancher,Appalachian State,Southern,,25,8,.758,,,,,2000-01,106,105,.502,,,,,,106,105,.502,,,,
Dennis Felton,Georgia,SEC,,19,14,.576,,,,,2003-04,58,63,.479,,,,,,158,117,.575,3,,,
Jim Ferry,LIU,NEC,,10,19,.345,,,,,2002-03,53,88,.376,,,,,,53,88,.376,,,,
Mark Few,Gonzaga,WCC,,23,11,.676,,,Lost First Round,,1999-00,211,52,.802,8,3,,,,211,52,.802,8,3,,
Dane Fife,Purdue Fort Wayne,Ind,,12,17,.414,,,,,2005-06,22,35,.386,,,,,,22,35,.386,,,,
Steve Fisher *,San Diego State,MWC,,22,11,.667,,,,,1999-00,127,117,.520,2,,,,,311,199,.610,9,4,3,1
Pat Flannery,Bucknell,Patriot,,22,9,.710,,,,,1994-95,221,160,.580,2,,,,,221,160,.580,2,,,
Rob Flaska,Centenary (LA),Mid-Cont,,10,21,.323,,,,,2005-06,14,44,.241,,,,,,14,44,.241,,,,
Bruiser Flint,Drexel,CAA,,23,9,.719,,,,,2001-02,106,74,.589,,,,,,192,146,.568,2,,,
Tim Floyd,USC,Pac-10,,25,12,.676,,23,Lost Regional Semifinal,,2005-06,42,25,.627,1,1,,,,284,156,.645,6,2,,
Travis Ford,UMass,A-10,,24,9,.727,,,,,2005-06,37,24,.607,,,,,,98,104,.485,1,,,
Mark Fox,Nevada,WAC,,29,5,.853,24,15,Lost Second Round,,2004-05,81,18,.818,3,,,,,81,18,.818,3,,,
Dwight Freeman,Norfolk State,MEAC,,11,19,.367,,,,,2002-03,63,83,.432,,,,,,109,148,.424,,,,
Ray Giacoletti,Utah,MWC,,11,19,.367,,,,,2004-05,54,40,.574,1,1,,,,123,90,.577,2,1,,
John Giannini,La Salle,A-10,,10,20,.333,,,,,2004-05,38,49,.437,,,,,,163,160,.505,,,,
Mike Gillespie,Florida A&M,MEAC,,21,14,.600,,,Lost Opening Round,,2001-02,90,94,.489,2,,,,,90,94,.489,2,,,
Mike Gillian,Longwood,Ind,,9,22,.290,,,,,2004-05,20,72,.217,,,,,,20,72,.217,,,,
Billy Gillispie,Texas A&M,Big 12,,27,7,.794,13,9,Lost Regional Semifinal,,2004-05,70,26,.729,2,1,,,,100,58,.633,3,1,,
Bobby Gonzalez,Seton Hall,Big East,,13,16,.448,,,,,2006-07,13,16,.448,,,,,,142,93,.604,2,,,
Mark Gottfried,Alabama,SEC,,20,12,.625,11,,,,1998-99,181,108,.626,5,1,,,,249,132,.654,7,1,,
Greg Graham,Boise State,WAC,,17,14,.548,,,,,2002-03,83,73,.532,,,,,,83,73,.532,,,,
Anthony Grant,VCU,CAA,,28,7,.800,,,Lost Second Round,,2006-07,28,7,.800,1,,,,,28,7,.800,1,,,
James Green,Mississippi Valley State,SWAC,,18,16,.529,,,,,2005-06,27,35,.435,,,,,,150,146,.507,,,,
Tom Green,FDU,NEC,,14,16,.467,,,,,1983-84,392,308,.560,4,,,,,392,308,.560,4,,,
Seth Greenberg,Virginia Tech,ACC,,22,12,.647,,,Lost Second Round,,2003-04,67,56,.545,1,,,,,280,226,.553,3,,,
Brian Gregory,Dayton,A-10,,19,12,.613,,,,,2003-04,75,49,.605,1,,,,,75,49,.605,1,,,
Frank Haith,Miami (FL),ACC,,12,20,.375,,,,,2004-05,46,49,.484,,,,,,46,49,.484,,,,
Leonard Hamilton *,Florida State,ACC,,22,13,.629,,,,,2002-03,87,71,.551,,,,,,287,281,.505,3,1,,
Steve Hawkins,Western Michigan,MAC,,16,16,.500,,,,,2003-04,76,51,.598,1,,,,,76,51,.598,1,,,
Stan Heath,Arkansas,SEC,,21,14,.600,,,Lost First Round,,2002-03,82,71,.536,2,,,,,112,77,.593,3,1,,
Bill Herrion,New Hampshire,AEC,,10,20,.333,,,,,2005-06,22,37,.373,,,,,,259,206,.557,3,,,
Paul Hewitt,Georgia Tech,ACC,,20,12,.625,23,,Lost First Round,,2000-01,127,95,.572,4,1,1,,,193,122,.613,5,1,1,
Fred Hill Jr,Rutgers,Big East,,10,19,.345,,,,,2006-07,10,19,.345,,,,,,10,19,.345,,,,
Barry Hinson,Missouri State,MVC,,22,11,.667,,,,,1999-00,152,101,.601,,,,,,188,124,.603,,,,
Karl Hobbs,George Washington,A-10,,23,9,.719,,,Lost First Round,,2001-02,114,65,.637,3,,,,,114,65,.637,3,,,
Brad Holland,San Diego,WCC,,18,14,.562,,,,,1994-95,200,176,.532,1,,,,,223,207,.519,1,,,
Van Holt,Arkansas-Pine Bluff,SWAC,,12,19,.387,,,,,2002-03,37,106,.259,,,,,,37,106,.259,,,,
Darrin Horn,Western Kentucky,Sun Belt,,22,11,.667,,,,,2003-04,82,41,.667,,,,,,82,41,.667,,,,
