game_id,game_date,game_time,home_team,away_team,home_team_id,away_team_id,team,team_id,team_type,price,sportsbook,last_updated,fetch_date,fetch_time
RKFbbKqCff6CX9SlkgRY,2026-03-19,01:15:00,Southern Methodist Mustangs,Miami (OH) RedHawks,1374,1275.0,Southern Methodist Mustangs,1374.0,home,-310,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
RKFbbKqCff6CX9SlkgRY,2026-03-19,01:15:00,Southern Methodist Mustangs,Miami (OH) RedHawks,1374,1275.0,Miami (OH) RedHawks,1275.0,away,+245,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
6FSfwkO1uOOfwc1VEX8q,2026-03-19,02:00:00,Nevada Wolf Pack,Murray State Racers,1305,1293.0,Nevada Wolf Pack,1305.0,home,-360,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
6FSfwkO1uOOfwc1VEX8q,2026-03-19,02:00:00,Nevada Wolf Pack,Murray State Racers,1305,1293.0,Murray State Racers,1293.0,away,+280,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
f57Hcf3BHPu2NtdHzjD5,2026-03-19,03:00:00,California Golden Bears,UIC Flames,1143,,California Golden Bears,1143.0,home,-205,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
f57Hcf3BHPu2NtdHzjD5,2026-03-19,03:00:00,California Golden Bears,UIC Flames,1143,,UIC Flames,,away,+168,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
gQOwQ3kAQuspcRtHRoTl,2026-03-19,03:00:00,Colorado State Rams,St. Joseph's Hawks,1161,,Colorado State Rams,1161.0,home,-227,fanduel,2026-03-17T05:54:43.456Z,2026-03-16,22:57:43
gQOwQ3kAQuspcRtHRoTl,2026-03-19,03:00:00,Colorado State Rams,St. Joseph's Hawks,1161,,St. Joseph's Hawks,,away,+184,fanduel,2026-03-17T05:54:43.456Z,2026-03-16,22:57:43
Vsna6wZrq1jwMrCQo2sA,2026-03-19,16:15:00,Ohio State Buckeyes,TCU Horned Frogs,1326,1395.0,Ohio State Buckeyes,1326.0,home,-146,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
Vsna6wZrq1jwMrCQo2sA,2026-03-19,16:15:00,Ohio State Buckeyes,TCU Horned Frogs,1326,1395.0,TCU Horned Frogs,1395.0,away,+122,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
zYNiyH9IjaKJF98sFrOr,2026-03-19,16:40:00,Nebraska Cornhuskers,Troy State Trojans,1304,1407.0,Nebraska Cornhuskers,1304.0,home,-1250,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
zYNiyH9IjaKJF98sFrOr,2026-03-19,16:40:00,Nebraska Cornhuskers,Troy State Trojans,1304,1407.0,Troy State Trojans,1407.0,away,+740,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
V404wm5nhdjP5gKoXFfK,2026-03-19,17:30:00,Louisville Cardinals,South Florida Bulls,1257,1378.0,Louisville Cardinals,1257.0,home,-230,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
V404wm5nhdjP5gKoXFfK,2026-03-19,17:30:00,Louisville Cardinals,South Florida Bulls,1257,1378.0,South Florida Bulls,1378.0,away,+188,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
rRoR1kS0SZ3PRI8XVBGZ,2026-03-19,17:50:00,Wisconsin Badgers,High Point Panthers,1458,1219.0,Wisconsin Badgers,1458.0,home,-530,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
rRoR1kS0SZ3PRI8XVBGZ,2026-03-19,17:50:00,Wisconsin Badgers,High Point Panthers,1458,1219.0,High Point Panthers,1219.0,away,+390,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
yz5TzSk6QxiasQzazNIL,2026-03-19,18:50:00,Duke Blue Devils,Siena Saints,1181,1373.0,Duke Blue Devils,1181.0,home,-100000,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
yz5TzSk6QxiasQzazNIL,2026-03-19,18:50:00,Duke Blue Devils,Siena Saints,1181,1373.0,Siena Saints,1373.0,away,+6500,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
LEcSG3eigLfxpV85czaU,2026-03-19,19:15:00,Vanderbilt Commodores,McNeese State Cowboys,1435,1270.0,Vanderbilt Commodores,1435.0,home,-750,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
LEcSG3eigLfxpV85czaU,2026-03-19,19:15:00,Vanderbilt Commodores,McNeese State Cowboys,1435,1270.0,McNeese State Cowboys,1270.0,away,+520,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
RDqpB4conoiC3CA65P6J,2026-03-19,20:05:00,Michigan State Spartans,North Dakota State Bison,1277,1295.0,Michigan State Spartans,1277.0,home,-2500,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
RDqpB4conoiC3CA65P6J,2026-03-19,20:05:00,Michigan State Spartans,North Dakota State Bison,1277,1295.0,North Dakota State Bison,1295.0,away,+1100,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
PBECiqACG7iZoo1QQjzj,2026-03-19,20:25:00,Arkansas Razorbacks,Hawaii Rainbow Warriors,1116,1218.0,Arkansas Razorbacks,1116.0,home,-1700,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
PBECiqACG7iZoo1QQjzj,2026-03-19,20:25:00,Arkansas Razorbacks,Hawaii Rainbow Warriors,1116,1218.0,Hawaii Rainbow Warriors,1218.0,away,+890,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
6ehLgWhfPbERs5LirQHV,2026-03-19,22:50:00,North Carolina Tar Heels,VCU Rams,1314,1433.0,North Carolina Tar Heels,1314.0,home,-140,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
6ehLgWhfPbERs5LirQHV,2026-03-19,22:50:00,North Carolina Tar Heels,VCU Rams,1314,1433.0,VCU Rams,1433.0,away,+116,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
mfCdbsXlqYEjpSCG99zl,2026-03-19,23:35:00,St Mary's Gaels,Texas A&M Aggies,1388,1401.0,St Mary's Gaels,1388.0,home,-162,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
mfCdbsXlqYEjpSCG99zl,2026-03-19,23:35:00,St Mary's Gaels,Texas A&M Aggies,1388,1401.0,Texas A&M Aggies,1401.0,away,+134,fanduel,2026-03-17T05:55:05.000Z,2026-03-16,22:57:43
