game_id,game_date,game_time,home_team,away_team,home_team_id,away_team_id,team,team_id,team_type,price,sportsbook,last_updated,fetch_date,fetch_time,market_type,handicap
manual-2026-15,2026-03-19,18:25:00,Illinois,Penn,1228,1335,Illinois,1228,home,-6500,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-15,2026-03-19,18:25:00,Illinois,Penn,1228,1335,Penn,1335,away,+2000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-15,2026-03-19,18:25:00,Illinois,Penn,1228,1335,Illinois,1228,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-24.5
manual-2026-15,2026-03-19,18:25:00,Illinois,Penn,1228,1335,Penn,1335,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+24.5
manual-2026-16,2026-03-19,18:45:00,Georgia,St Louis,1208,1387,Georgia,1208,home,-148,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-16,2026-03-19,18:45:00,Georgia,St Louis,1208,1387,St Louis,1387,away,+124,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-16,2026-03-19,18:45:00,Georgia,St Louis,1208,1387,Georgia,1208,home,-118,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-1.5
manual-2026-16,2026-03-19,18:45:00,Georgia,St Louis,1208,1387,St Louis,1387,away,-102,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+1.5
manual-2026-17,2026-03-19,19:00:00,Gonzaga,Kennesaw,1211,1244,Gonzaga,1211,home,-3200,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-17,2026-03-19,19:00:00,Gonzaga,Kennesaw,1211,1244,Kennesaw,1244,away,+1400,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-17,2026-03-19,19:00:00,Gonzaga,Kennesaw,1211,1244,Gonzaga,1211,home,-108,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-20.5
manual-2026-17,2026-03-19,19:00:00,Gonzaga,Kennesaw,1211,1244,Kennesaw,1244,away,-112,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+20.5
manual-2026-18,2026-03-19,19:10:00,Houston,Idaho,1222,1225,Houston,1222,home,-8000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-18,2026-03-19,19:10:00,Houston,Idaho,1222,1225,Idaho,1225,away,+2200,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-18,2026-03-19,19:10:00,Houston,Idaho,1222,1225,Houston,1222,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-23.5
manual-2026-18,2026-03-19,19:10:00,Houston,Idaho,1222,1225,Idaho,1225,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+23.5
manual-2026-19,2026-03-20,09:15:00,Kentucky,Santa Clara,1246,1365,Kentucky,1246,home,-162,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-19,2026-03-20,09:15:00,Kentucky,Santa Clara,1246,1365,Santa Clara,1365,away,+136,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-19,2026-03-20,09:15:00,Kentucky,Santa Clara,1246,1365,Kentucky,1246,home,-105,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-3.5
manual-2026-19,2026-03-20,09:15:00,Kentucky,Santa Clara,1246,1365,Santa Clara,1365,away,-115,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+3.5
manual-2026-20,2026-03-20,09:40:00,Texas Tech,Akron,1403,1103,Texas Tech,1403,home,-340,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-20,2026-03-20,09:40:00,Texas Tech,Akron,1403,1103,Akron,1103,away,+270,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-20,2026-03-20,09:40:00,Texas Tech,Akron,1403,1103,Texas Tech,1403,home,-105,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-8.5
manual-2026-20,2026-03-20,09:40:00,Texas Tech,Akron,1403,1103,Akron,1103,away,-115,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+8.5
manual-2026-21,2026-03-20,10:35:00,Arizona,LIU Brooklyn,1112,1254,Arizona,1112,home,-100000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-21,2026-03-20,10:35:00,Arizona,LIU Brooklyn,1112,1254,LIU Brooklyn,1254,away,+5000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-21,2026-03-20,10:35:00,Arizona,LIU Brooklyn,1112,1254,Arizona,1112,home,-112,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-30.5
manual-2026-21,2026-03-20,10:35:00,Arizona,LIU Brooklyn,1112,1254,LIU Brooklyn,1254,away,-108,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+30.5
manual-2026-22,2026-03-20,10:50:00,Virginia,Wright St,1438,1460,Virginia,1438,home,-2800,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-22,2026-03-20,10:50:00,Virginia,Wright St,1438,1460,Wright St,1460,away,+1300,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-22,2026-03-20,10:50:00,Virginia,Wright St,1438,1460,Virginia,1438,home,-105,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-18.5
manual-2026-22,2026-03-20,10:50:00,Virginia,Wright St,1438,1460,Wright St,1460,away,-115,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+18.5
manual-2026-23,2026-03-20,11:50:00,Iowa St,Tennessee St,1235,1398,Iowa St,1235,home,-8000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-23,2026-03-20,11:50:00,Iowa St,Tennessee St,1235,1398,Tennessee St,1398,away,+2200,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-23,2026-03-20,11:50:00,Iowa St,Tennessee St,1235,1398,Iowa St,1235,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-24.5
manual-2026-23,2026-03-20,11:50:00,Iowa St,Tennessee St,1235,1398,Tennessee St,1398,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+24.5
manual-2026-24,2026-03-20,12:15:00,Alabama,Hofstra,1104,1220,Alabama,1104,home,-800,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-24,2026-03-20,12:15:00,Alabama,Hofstra,1104,1220,Hofstra,1220,away,+550,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-24,2026-03-20,12:15:00,Alabama,Hofstra,1104,1220,Alabama,1104,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-11.5
