Season,TeamID,TeamName,Barthag,Exp
2008,1334,Pacific,0.5385,1.7359999999999989
2008,1200,Fordham,0.534,2.2902838864454216
2008,1350,Richmond,0.5323,1.0700140028005602
2008,1319,Northern Arizona,0.5307,1.9903980796159224
2008,1318,Northeastern,0.5286,1.094781043791242
2008,1408,Tulane,0.523,1.8237647529505905
2008,1151,Chattanooga,0.5201,2.1253749250149965
2008,1110,American,0.5192,2.066
2008,1125,Belmont,0.5191,1.7381476295259053
2008,1387,Saint Louis,0.5177,2.2164432886577323
2008,1365,Santa Clara,0.5146,1.8263305322128849
2008,1454,Milwaukee,0.5,2.0131894484412456
2008,1288,Morgan St.,0.5,2.076399999999999
2008,1423,UNC Wilmington,0.4919,2.0431999999999997
2008,1414,UC Irvine,0.4888,2.0703092783505155
2008,1249,Lamar,0.4865,2.418916216756649
2008,1158,Charleston,0.4862,0.9642
2008,1203,George Washington,0.4797,1.5741148229645927
2008,1122,Austin Peay,0.4777,2.2026
2008,1221,Holy Cross,0.4713,1.9331999999999991
2008,1395,TCU,0.4712,1.9866026794641076
2008,1421,UNC Asheville,0.4673,2.2374474894979004
2008,1259,Loyola MD,0.4644,1.9729785478547857
2008,1291,Mount St. Mary's,0.4534,1.4484896979395878
2008,1321,Northwestern,0.4478,1.1719656068786244
2008,1107,Albany,0.4468,1.9444
2008,1426,UT Arlington,0.4401,1.8388322335532887
2008,1185,Eastern Michigan,0.4395,2.177599999999998
2008,1292,Middle Tennessee,0.4389,1.5320935812837422
2008,1201,Fresno St.,0.4386,2.4104
2008,1309,New Orleans,0.437,2.490301939612078
2008,1353,Rutgers,0.4342,1.3404000000000005
2008,1190,East Tennessee St.,0.434,2.108
2008,1141,Central Michigan,0.4334,1.7401794616151545
2008,1436,Vermont,0.4262,1.7868426314737058
2008,1248,Lafayette,0.4193,2.1895620875824826
2008,1456,William & Mary,0.4176,1.879624075184963
2008,1138,Buffalo,0.4172,1.3602720544108826
2008,1114,Little Rock,0.4163,1.7613522704540907
2008,1285,Montana,0.4145,1.8392000000000004
2008,1451,Weber St.,0.4138,2.220844168833767
2008,1461,Wyoming,0.4073,1.8146370725854828
2008,1418,Louisiana,0.407,1.2035592881423716
2008,1293,Murray St.,0.4044,1.7144571085782845
2008,1189,Elon,0.4042,1.7871999999999997
2008,1219,High Point,0.4006,1.5629125825165042
2008,1205,Gardner Webb,0.3972,1.4547999999999996
2008,1159,Colgate,0.3904,2.2108421684336865
2008,1252,Lipscomb,0.3846,1.6275489804078362
2008,1214,Hampton,0.3832,1.5728291316526608
2008,1236,Purdue Fort Wayne,0.3818,2.087121212121213
2008,1368,Southeastern Louisiana,0.3743,1.9458
2008,1241,James Madison,0.3732,1.6401280256051205
2008,1260,Loyola Chicago,0.3715,1.964014394242303
2008,1148,Central Connecticut,0.3703,1.0709557302441048
2008,1298,Navy,0.3698,1.5090946672178585
2008,1187,East Carolina,0.369,1.6788000000000012
2008,1132,Bowling Green,0.3661,1.220444088817763
2008,1382,St. Bonaventure,0.3659,2.0937624950019997
2008,1459,Wofford,0.3653,1.5057999999999998
2008,1174,Delaware,0.3605,1.3696000000000002
2008,1357,Sacred Heart,0.3571,2.064587082583483
2008,1218,Hawaii,0.3551,2.4833033393321333
2008,1193,Fairfield,0.3541,1.40343258891646
2008,1191,Evansville,0.3508,1.2999400119976006
2008,1220,Hofstra,0.3502,1.5505999999999998
2008,1251,Liberty,0.3497,1.958226093842803
2008,1106,Alabama St.,0.3492,1.9697879151660664
2008,1127,Binghamton,0.3487,1.7766446710657866
2008,1464,Youngstown St.,0.3451,1.9055433259955965
2008,1254,LIU,0.3438,1.4229775392566095
2008,1239,Jacksonville,0.3413,1.091018203640728
2008,1233,Iona,0.3394,1.8939138802020683
2008,1430,Utah Valley,0.3317,2.040591881623676
2008,1194,Florida Atlantic,0.3311,1.8106000000000004
2008,1286,Montana St.,0.3288,2.2348
2008,1333,Oregon St.,0.3267,1.1678046761845642
2008,1264,Manhattan,0.3262,0.8064049586776856
2008,1398,Tennessee St.,0.3253,1.7480503899220148
2008,1405,Toledo,0.3235,1.442288457691538
2008,1381,Southern Utah,0.3222,1.9519903980796167
2008,1131,Boston University,0.3207,1.1912000000000005
2008,1463,Yale,0.3151,2.1179764047190557
2008,1407,Troy,0.3132,2.2166
2008,1337,Pepperdine,0.3084,0.995054401582592
2008,1447,Wagner,0.3072,2.376863446630888
2008,1123,Ball St.,0.3069,1.460786353234866
2008,1137,Bucknell,0.3054,1.5181743081371335
2008,1346,Quinnipiac,0.3011,1.5172965406918617
2008,1176,Denver,0.3008,1.242983159583
2008,1406,Towson,0.2991,1.9974005198960207
2008,1294,Northern Colorado,0.2977,1.4831999999999996
2008,1216,Hartford,0.2959,1.3855999999999995
2008,1178,Detroit Mercy,0.295,1.7674000000000003
2008,1161,Colorado St.,0.2928,1.029582126603228
2008,1186,Eastern Washington,0.2914,1.6543308661732348
2008,1441,Western Carolina,0.2907,1.3757999999999997
2008,1250,Lehigh,0.2893,1.3295340931813635
2008,1282,UMKC,0.2836,1.682136427285457
2008,1404,Tennessee Martin,0.2783,1.3750000000000004
2008,1399,Tennessee Tech,0.2762,2.0246
2008,1442,Western Illinois,0.272,1.7506498700259954
2008,1362,San Francisco,0.2717,1.4752
2008,1270,McNeese St.,0.2688,2.2116729962022776
2008,1209,Georgia St.,0.2686,1.4368000000000003
2008,1198,FIU,0.2678,1.6340000000000008
2008,1363,San Jose St.,0.2676,1.5406
2008,1311,Nicholls St.,0.2656,1.290741851629674
2008,1180,Drexel,0.2636,1.6732
2008,1402,Texas St.,0.263,1.7528494301139772
2008,1162,Columbia,0.262,2.2384
2008,1410,UT Rio Grande Valley,0.2603,2.427694136291602
2008,1117,Arkansas St.,0.259,1.8552
2008,1419,Louisiana Monroe,0.2564,2.017403480696139
2008,1440,VMI,0.2511,1.4699013489027584
2008,1355,South Dakota St.,0.2503,1.1150159744408947
2008,1296,Northern Illinois,0.2501,1.6772645470905818
2008,1152,Chicago St.,0.2471,1.6853370674134829
2008,1119,Army,0.2443,1.673061550759393
2008,1339,Portland,0.2441,0.9596
